Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,year,month,dayofweek,sales_lag_1
59,4,2015-07-30,5556,545,1,1,0,1,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,7148.0
61,4,2015-07-30,5868,599,1,1,0,1,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,5572.0
63,4,2015-07-30,9316,735,1,1,0,1,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",2015,7,3,11525.0
65,4,2015-07-30,6652,511,1,1,0,1,a,c,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,7156.0
71,4,2015-07-30,10090,761,1,1,0,1,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec",2015,7,3,11545.0
72,4,2015-07-30,5434,541,1,1,0,0,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,5251.0
77,4,2015-07-30,8141,660,1,1,0,1,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,10335.0
78,4,2015-07-30,3964,484,1,1,0,1,a,a,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,5712.0
81,4,2015-07-30,7376,566,1,1,0,0,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,9279.0
82,4,2015-07-30,10023,854,1,1,0,1,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,11492.0
86,4,2015-07-30,4759,574,1,1,0,1,a,a,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,3,5572.0
89,4,2015-07-30,6433,683,1,1,0,0,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,7295.0
96,4,2015-07-30,6308,634,1,1,0,1,a,a,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,6370.0
98,4,2015-07-30,6399,455,1,1,0,1,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,7012.0
99,4,2015-07-30,6046,500,1,1,0,0,c,c,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2015,7,3,6571.0
102,4,2015-07-30,7241,949,1,1,0,1,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,7,3,12602.0
115,4,2015-07-30,9370,636,1,1,0,0,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,9716.0
120,4,2015-07-30,7749,668,1,1,0,1,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,10392.0
121,4,2015-07-30,4422,461,1,1,0,1,a,a,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",2015,7,3,4565.0
126,4,2015-07-30,6659,531,1,1,0,1,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,8742.0
127,4,2015-07-30,6568,714,1,1,0,0,d,a,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,8560.0
133,4,2015-07-30,7083,725,1,1,0,1,a,a,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,7,3,8519.0
136,4,2015-07-30,7977,548,1,1,0,0,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov",2015,7,3,9568.0
137,4,2015-07-30,8026,966,1,1,0,0,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,9047.0
139,4,2015-07-30,8083,625,1,1,0,0,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,7972.0
140,4,2015-07-30,9419,1032,1,1,0,1,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,3,9828.0
146,4,2015-07-30,8798,734,1,1,0,1,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,10130.0
149,4,2015-07-30,6362,589,1,1,0,0,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,7144.0
153,4,2015-07-30,7587,600,1,1,0,1,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,8392.0
156,4,2015-07-30,8828,871,1,1,0,1,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec",2015,7,3,8828.0
162,4,2015-07-30,9618,598,1,1,0,1,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,10735.0
164,4,2015-07-30,8844,755,1,1,0,0,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,9240.0
165,4,2015-07-30,4504,469,1,1,0,0,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,5009.0
166,4,2015-07-30,7130,877,1,1,0,1,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,3,6588.0
169,4,2015-07-30,7626,609,1,1,0,1,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov",2015,7,3,7551.0
170,4,2015-07-30,4771,503,1,1,0,1,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,5915.0
177,4,2015-07-30,4517,464,1,1,0,1,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,5012.0
181,4,2015-07-30,7860,744,1,1,0,0,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,8398.0
186,4,2015-07-30,4278,385,1,1,0,0,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,4957.0
190,4,2015-07-30,9079,754,1,1,0,0,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,9772.0
191,4,2015-07-30,7531,751,1,1,0,0,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,8592.0
192,4,2015-07-30,15620,925,1,1,0,0,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,16191.0
196,4,2015-07-30,5287,657,1,1,0,1,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,6784.0
198,4,2015-07-30,3211,321,1,1,0,1,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,3824.0
199,4,2015-07-30,9391,631,1,1,0,1,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec",2015,7,3,10260.0
204,4,2015-07-30,5997,545,1,1,0,0,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,7189.0
209,4,2015-07-30,8144,762,1,1,0,1,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,3,8912.0
210,4,2015-07-30,4338,360,1,1,0,1,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,4275.0
213,4,2015-07-30,9496,646,1,1,0,1,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,10485.0
214,4,2015-07-30,8887,627,1,1,0,1,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,11117.0
223,4,2015-07-30,6830,654,1,1,0,1,d,c,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,10141.0
229,4,2015-07-30,10159,743,1,1,0,1,d,c,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,13016.0
231,4,2015-07-30,7168,508,1,1,0,0,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov",2015,7,3,8353.0
232,4,2015-07-30,4591,373,1,1,0,1,c,c,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec",2015,7,3,5738.0
235,4,2015-07-30,6122,495,1,1,0,1,a,a,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,6756.0
242,4,2015-07-30,4915,419,1,1,0,1,d,a,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,5056.0
244,4,2015-07-30,6116,571,1,1,0,1,d,a,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,6461.0
247,4,2015-07-30,9354,678,1,1,0,1,d,c,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,11660.0
248,4,2015-07-30,6738,818,1,1,0,1,a,c,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,11444.0
254,4,2015-07-30,3565,276,1,1,0,1,d,a,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec",2015,7,3,4239.0
255,4,2015-07-30,7510,657,1,1,0,1,c,c,4630.0,3.0,2011.0,1,35.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,8711.0
256,4,2015-07-30,9677,1036,1,1,0,1,a,c,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,7,3,11536.0
258,4,2015-07-30,6681,614,1,1,0,0,a,a,27190.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,6763.0
261,4,2015-07-30,14051,1003,1,1,0,1,d,c,15340.0,4.0,2015.0,1,39.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,13470.0
263,4,2015-07-30,4381,374,1,1,0,0,a,c,1140.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,5216.0
266,4,2015-07-30,4602,535,1,1,0,1,a,c,360.0,3.0,2014.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",2015,7,3,4779.0
272,4,2015-07-30,7819,696,1,1,0,1,a,a,16180.0,7.0,2003.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,9109.0
275,4,2015-07-30,6903,657,1,1,0,0,d,a,300.0,5.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,8573.0
276,4,2015-07-30,4283,539,1,1,0,1,a,a,2960.0,10.0,2014.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",2015,7,3,5272.0
280,4,2015-07-30,7302,531,1,1,0,1,d,c,18640.0,9.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,7,3,8189.0
287,4,2015-07-30,9614,856,1,1,0,0,c,a,2740.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,9283.0
295,4,2015-07-30,7240,887,1,1,0,1,a,a,210.0,11.0,2000.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",2015,7,3,7687.0
296,4,2015-07-30,7898,746,1,1,0,1,a,a,9580.0,5.0,2007.0,1,45.0,2014.0,"Feb,May,Aug,Nov",2015,7,3,8579.0
300,4,2015-07-30,8095,909,1,1,0,1,a,c,120.0,4.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,10784.0
302,4,2015-07-30,4099,326,1,1,0,1,d,c,2190.0,12.0,2007.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",2015,7,3,5356.0
303,4,2015-07-30,7199,714,1,1,0,1,a,a,15430.0,11.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,9026.0
305,4,2015-07-30,6484,556,1,1,0,1,c,c,2470.0,2.0,2005.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec",2015,7,3,7529.0
306,4,2015-07-30,5643,574,1,1,0,0,a,a,5100.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,6218.0
308,4,2015-07-30,9306,884,1,1,0,1,a,a,1070.0,12.0,2006.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,11053.0
314,4,2015-07-30,6330,651,1,1,0,1,a,a,3560.0,10.0,2001.0,1,31.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,6661.0
317,4,2015-07-30,6200,591,1,1,0,0,d,a,3140.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,7374.0
319,4,2015-07-30,7955,764,1,1,0,1,a,c,570.0,9.0,2012.0,1,27.0,2012.0,"Mar,Jun,Sept,Dec",2015,7,3,11280.0
321,4,2015-07-30,7119,656,1,1,0,1,c,c,8140.0,11.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,7,3,7520.0
322,4,2015-07-30,6333,685,1,1,0,1,a,a,17500.0,4.0,2001.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,6826.0
323,4,2015-07-30,7648,607,1,1,0,1,d,c,8400.0,4.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,10371.0
325,4,2015-07-30,9089,923,1,1,0,1,a,c,350.0,3.0,2011.0,1,22.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,8509.0
326,4,2015-07-30,6385,453,1,1,0,1,d,a,10070.0,5.0,2015.0,1,31.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,8094.0
329,4,2015-07-30,7316,672,1,1,0,1,a,a,1310.0,6.0,1990.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2015,7,3,9168.0
334,4,2015-07-30,6050,539,1,1,0,1,d,c,4040.0,8.0,2008.0,1,18.0,2013.0,"Mar,Jun,Sept,Dec",2015,7,3,6583.0
337,4,2015-07-30,6031,398,1,1,0,1,d,c,10600.0,7.0,2005.0,1,45.0,2014.0,"Feb,May,Aug,Nov",2015,7,3,7345.0
343,4,2015-07-30,8420,727,1,1,0,1,d,a,18650.0,4.0,2004.0,1,14.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,9742.0
344,4,2015-07-30,10488,1168,1,1,0,1,a,c,300.0,4.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,12767.0
347,4,2015-07-30,5716,431,1,1,0,1,d,c,9360.0,7.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2015,7,3,7512.0
351,4,2015-07-30,7523,554,1,1,0,1,a,a,5290.0,11.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,8603.0
356,4,2015-07-30,7495,514,1,1,0,1,d,c,8970.0,12.0,2007.0,1,22.0,2012.0,"Feb,May,Aug,Nov",2015,7,3,9347.0
361,4,2015-07-30,7894,694,1,1,0,1,c,c,4490.0,5.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,9806.0
368,4,2015-07-30,12314,812,1,1,0,1,d,c,1450.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,7,3,16556.0
370,4,2015-07-30,9120,687,1,1,0,1,d,a,8250.0,10.0,2000.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,9747.0
371,4,2015-07-30,7633,558,1,1,0,1,d,c,1970.0,7.0,2009.0,1,45.0,2014.0,"Feb,May,Aug,Nov",2015,7,3,8360.0
372,4,2015-07-30,9867,738,1,1,0,1,d,c,4880.0,8.0,2010.0,1,18.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,11470.0
375,4,2015-07-30,11497,873,1,1,0,1,a,c,15710.0,2.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,13241.0
377,4,2015-07-30,9044,894,1,1,0,1,a,c,100.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",2015,7,3,14940.0
380,4,2015-07-30,14706,1354,1,1,0,1,a,a,2240.0,5.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,7,3,17133.0
381,4,2015-07-30,10231,966,1,1,0,1,a,a,1800.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,10760.0
386,4,2015-07-30,8658,617,1,1,0,1,d,c,1460.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,3,10007.0
391,4,2015-07-30,6777,697,1,1,0,1,a,a,460.0,11.0,2014.0,1,31.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,8431.0
399,4,2015-07-30,6960,625,1,1,0,0,a,a,5360.0,9.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,6917.0
400,4,2015-07-30,9654,1238,1,1,0,1,a,a,70.0,11.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,11084.0
401,4,2015-07-30,8706,696,1,1,0,1,a,c,9200.0,10.0,2009.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,8951.0
402,4,2015-07-30,6815,657,1,1,0,1,c,c,5830.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,6904.0
405,4,2015-07-30,5084,495,1,1,0,1,a,a,1080.0,4.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,5569.0
406,4,2015-07-30,7903,535,1,1,0,1,d,c,8240.0,3.0,2001.0,1,10.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,10916.0
407,4,2015-07-30,4843,394,1,1,0,0,a,a,5890.0,10.0,2003.0,1,14.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,6393.0
410,4,2015-07-30,6812,779,1,1,0,1,c,a,40.0,11.0,2011.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2015,7,3,7959.0
418,4,2015-07-30,6038,546,1,1,0,1,a,a,1060.0,5.0,2009.0,1,27.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,8180.0
421,4,2015-07-30,13964,1263,1,1,0,1,c,c,3530.0,6.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec",2015,7,3,14471.0
427,4,2015-07-30,12943,933,1,1,0,0,a,c,70.0,7.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,10228.0
428,4,2015-07-30,7610,598,1,1,0,0,d,a,2960.0,12.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec",2015,7,3,7940.0
429,4,2015-07-30,6145,461,1,1,0,0,d,c,16350.0,7.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,3,6999.0
434,4,2015-07-30,11115,715,1,1,0,0,a,a,13020.0,8.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,12333.0
440,4,2015-07-30,6681,626,1,1,0,1,d,a,3900.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,7,3,8230.0
446,4,2015-07-30,5561,598,1,1,0,1,a,a,340.0,10.0,2000.0,1,31.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,7952.0
449,4,2015-07-30,11944,1461,1,1,0,1,a,c,120.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,13829.0
450,4,2015-07-30,13984,1455,1,1,0,1,c,a,5780.0,11.0,1994.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,7,3,10830.0
451,4,2015-07-30,6385,486,1,1,0,1,a,a,2460.0,4.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,6628.0
452,4,2015-07-30,6254,538,1,1,0,1,a,c,1850.0,8.0,2013.0,1,5.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,7541.0
459,4,2015-07-30,10847,1173,1,1,0,1,a,a,250.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,3,13873.0
461,4,2015-07-30,4882,478,1,1,0,1,d,c,1790.0,7.0,2013.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,3,6252.0
477,4,2015-07-30,6766,448,1,1,0,0,d,a,770.0,7.0,2010.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,7885.0
479,4,2015-07-30,14465,1429,1,1,0,1,a,a,320.0,12.0,2005.0,1,9.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,16699.0
483,4,2015-07-30,7614,860,1,1,0,1,a,c,2310.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,6200.0
487,4,2015-07-30,9484,754,1,1,0,1,d,c,2180.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,9624.0
489,4,2015-07-30,10307,769,1,1,0,1,a,a,14960.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,9010.0
490,4,2015-07-30,8458,1061,1,1,0,0,a,a,660.0,4.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,7,3,9184.0
492,4,2015-07-30,8929,1245,1,1,0,0,a,a,1740.0,3.0,2008.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,10485.0
500,4,2015-07-30,7853,505,1,1,0,0,d,c,10690.0,9.0,2007.0,1,5.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,3,7364.0
502,4,2015-07-30,12534,1522,1,1,0,1,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,15473.0
503,4,2015-07-30,9715,608,1,1,0,1,d,c,13080.0,9.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,3,9654.0
506,4,2015-07-30,7922,836,1,1,0,1,a,a,1850.0,12.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2015,7,3,11162.0
507,4,2015-07-30,9704,694,1,1,0,1,a,c,9070.0,4.0,2011.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,10706.0
509,4,2015-07-30,6975,533,1,1,0,1,a,a,4740.0,7.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,7,3,8130.0
514,4,2015-07-30,6981,674,1,1,0,0,c,c,1200.0,7.0,2012.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,7568.0
518,4,2015-07-30,7440,545,1,1,0,0,d,c,3330.0,3.0,2015.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,7,3,8027.0
519,4,2015-07-30,6309,607,1,1,0,1,c,c,2510.0,8.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,3,8175.0
521,4,2015-07-30,6260,462,1,1,0,1,d,a,18610.0,11.0,2002.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",2015,7,3,8340.0
